Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
20,104,0.000332298,117,0.000314652,221
20,13,4.43065E-05,0,2.66655E-06,13
20.2,13,4.43065E-05,0,2.66655E-06,13
200,35,0.000113931,18,5.06644E-05,53
2000,12,4.11417E-05,0,2.66655E-06,12
201204,20,6.64597E-05,0,2.66655E-06,20
2014,0,3.16475E-06,43,0.000117328,43
2018,11,3.7977E-05,0,2.66655E-06,11
2019,19,6.32949E-05,158,0.000423981,177
2020,291,0.000924106,228,0.000610639,519
2020.12.06,11,3.7977E-05,0,2.66655E-06,11
2021,22,7.27892E-05,0,2.66655E-06,22
207,0,3.16475E-06,28,7.73298E-05,28
21,65,0.000208873,214,0.000573307,279
๒๑,0,3.16475E-06,103,0.000277321,103
21.3,0,3.16475E-06,10,2.9332E-05,10
22,46,0.000148743,182,0.000487978,228
23,85,0.000272168,75,0.000202657,160
๒๓,0,3.16475E-06,12,3.46651E-05,12
23.59,10,3.48122E-05,0,2.66655E-06,10
2355,0,3.16475E-06,31,8.53295E-05,31
24,68,0.000218368,178,0.000477312,246
"24,000",0,3.16475E-06,10,2.9332E-05,10
24,12,4.11417E-05,0,2.66655E-06,12
241,0,3.16475E-06,213,0.000570641,213
24211,14,4.74712E-05,0,2.66655E-06,14
2427,13,4.43065E-05,0,2.66655E-06,13
24745488,0,3.16475E-06,202,0.000541309,202
2475,0,3.16475E-06,39,0.000106662,39
25,57,0.000183555,179,0.000479978,236
250,11,3.7977E-05,0,2.66655E-06,11
2511,0,3.16475E-06,61,0.000165326,61
2557,0,3.16475E-06,20,5.59975E-05,20
2560,20,6.64597E-05,0,2.66655E-06,20
2562,0,3.16475E-06,83,0.00022399,83
๒๕๖๒,0,3.16475E-06,39,0.000106662,39
2563,77,0.00024685,166,0.000445313,243
๒๕๖๓,13,4.43065E-05,0,2.66655E-06,13
2564,11,3.7977E-05,0,2.66655E-06,11
26,56,0.000180391,65,0.000175992,121
27,58,0.00018672,28,7.73298E-05,86
28,56,0.000180391,157,0.000421314,213
2844,0,3.16475E-06,25,6.93302E-05,25
29,96,0.00030698,52,0.000141327,148
29027652,10,3.48122E-05,0,2.66655E-06,10
3,1480,0.004686991,1716,0.004578459,3196
๓,0,3.16475E-06,117,0.000314652,117
3,11,3.7977E-05,11,3.19985E-05,22
30,91,0.000291157,110,0.000295987,201
"30,000",0,3.16475E-06,24,6.66636E-05,24
300,37,0.00012026,0,2.66655E-06,37
302,0,3.16475E-06,20,5.59975E-05,20
3022,0,3.16475E-06,18,5.06644E-05,18
3028,11,3.7977E-05,0,2.66655E-06,11
309,0,3.16475E-06,30,8.26629E-05,30
31,51,0.000164567,79,0.000213324,130
32,37,0.00012026,53,0.000143993,90
321,16,5.38007E-05,0,2.66655E-06,16
33,66,0.000212038,37,0.000101329,103
333,16,5.38007E-05,0,2.66655E-06,16
34,35,0.000113931,31,8.53295E-05,66
340,11,3.7977E-05,0,2.66655E-06,11
34498437,0,3.16475E-06,19,5.33309E-05,19
35,38,0.000123425,23,6.39971E-05,61
353,0,3.16475E-06,15,4.26647E-05,15
356,29,9.49424E-05,0,2.66655E-06,29
36,40,0.000129755,200,0.000535976,240
"36,0",0,3.16475E-06,20,5.59975E-05,20
37,23,7.59539E-05,12,3.46651E-05,35
38,26,8.54482E-05,10,2.9332E-05,36
39,31,0.000101272,45,0.000122661,76
4,1441,0.004563566,1410,0.003762496,2851
๔,0,3.16475E-06,15,4.26647E-05,15
4,0,3.16475E-06,14,3.99982E-05,14
40,75,0.000240521,43,0.000117328,118
400,12,4.11417E-05,0,2.66655E-06,12
41,13,4.43065E-05,19,5.33309E-05,32
42,33,0.000107601,35,9.59956E-05,68
43,36,0.000117096,11,3.19985E-05,47
44,20,6.64597E-05,10,2.9332E-05,30
45,28,9.17777E-05,31,8.53295E-05,59
"45,000",0,3.16475E-06,18,5.06644E-05,18
46,23,7.59539E-05,12,3.46651E-05,35
47,15,5.0636E-05,0,2.66655E-06,15
477,0,3.16475E-06,28,7.73298E-05,28
48,160,0.000509524,48,0.000130661,208
49,20,6.64597E-05,11,3.19985E-05,31
4914,0,3.16475E-06,12,3.46651E-05,12
5,1437,0.004550907,1007,0.002687878,2444
๕,29,9.49424E-05,14,3.99982E-05,43
50,106,0.000338628,18,5.06644E-05,124
500,33,0.000107601,0,2.66655E-06,33
51,23,7.59539E-05,0,2.66655E-06,23
